model_component,evidence_type,input_dim,output_dim,macs,lanes,control_overhead_cycles,cycles,clock_hz,clock_source,compute_time_ms,weight_preloaded,activation_transfer_bytes,result_transfer_bytes,interface,assumption_case,driver_overhead_us,assumed_transfer_bandwidth_MBps,transfer_time_us,optimized_interface_latency_ms,estimate_boundary
compute_only_lower_bound,projected,16,4,64,1,4,68,59850000,Quartus slow 1200mV 85C CLOCK_50 Fmax,0.001136174,True,16,16,compute_only,lower_bound,0,,0,0.001136174,"projected compute-only estimate; not measured board latency"
compute_only_lower_bound,projected,16,4,64,4,4,20,59850000,Quartus slow 1200mV 85C CLOCK_50 Fmax,0.000334169,True,16,16,compute_only,lower_bound,0,,0,0.000334169,"projected compute-only estimate; not measured board latency"
compute_only_lower_bound,projected,16,4,64,8,4,12,59850000,Quartus slow 1200mV 85C CLOCK_50 Fmax,0.000200501,True,16,16,compute_only,lower_bound,0,,0,0.000200501,"projected compute-only estimate; not measured board latency"
compute_only_lower_bound,projected,16,4,64,16,4,8,59850000,Quartus slow 1200mV 85C CLOCK_50 Fmax,0.000133668,True,16,16,compute_only,lower_bound,0,,0,0.000133668,"projected compute-only estimate; not measured board latency"
optimized_interface_estimate,projected,16,4,64,16,4,8,59850000,Quartus slow 1200mV 85C CLOCK_50 Fmax,0.000133668,True,16,16,ideal_register_batch,conservative,10,20000,0.001600,0.010135268,"projected optimized-interface estimate; not measured board latency"
optimized_interface_estimate,projected,16,4,64,16,4,8,59850000,Quartus slow 1200mV 85C CLOCK_50 Fmax,0.000133668,True,16,16,ideal_register_batch,nominal,5,20000,0.001600,0.005135268,"projected optimized-interface estimate; not measured board latency"
optimized_interface_estimate,projected,16,4,64,16,4,8,59850000,Quartus slow 1200mV 85C CLOCK_50 Fmax,0.000133668,True,16,16,ideal_register_batch,aggressive,2,20000,0.001600,0.002135268,"projected optimized-interface estimate; not measured board latency"
optimized_interface_estimate,projected,16,4,64,16,4,8,59850000,Quartus slow 1200mV 85C CLOCK_50 Fmax,0.000133668,True,16,16,low_overhead_driver,conservative,100,100,0.320000,0.100453668,"projected optimized-interface estimate; not measured board latency"
optimized_interface_estimate,projected,16,4,64,16,4,8,59850000,Quartus slow 1200mV 85C CLOCK_50 Fmax,0.000133668,True,16,16,low_overhead_driver,nominal,50,100,0.320000,0.050453668,"projected optimized-interface estimate; not measured board latency"
optimized_interface_estimate,projected,16,4,64,16,4,8,59850000,Quartus slow 1200mV 85C CLOCK_50 Fmax,0.000133668,True,16,16,low_overhead_driver,aggressive,20,100,0.320000,0.020453668,"projected optimized-interface estimate; not measured board latency"
optimized_interface_estimate,projected,16,4,64,16,4,8,59850000,Quartus slow 1200mV 85C CLOCK_50 Fmax,0.000133668,True,16,16,dma_shared_memory_style,conservative,25,1000,0.032000,0.025165668,"projected optimized-interface estimate; not measured board latency"
optimized_interface_estimate,projected,16,4,64,16,4,8,59850000,Quartus slow 1200mV 85C CLOCK_50 Fmax,0.000133668,True,16,16,dma_shared_memory_style,nominal,10,1000,0.032000,0.010165668,"projected optimized-interface estimate; not measured board latency"
optimized_interface_estimate,projected,16,4,64,16,4,8,59850000,Quartus slow 1200mV 85C CLOCK_50 Fmax,0.000133668,True,16,16,dma_shared_memory_style,aggressive,5,1000,0.032000,0.005165668,"projected optimized-interface estimate; not measured board latency"
